RPM,WindMagnitude,AngleDegrees,WindX,WindY,WindZ,VmagCosAngle,Fx,Fy,Fz,Qx,Qy,Qz,Propeller_1_Fx,Propeller_1_Fy,Propeller_1_Fz,Propeller_1_Qx,Propeller_1_Qy,Propeller_1_Qz
45,0,-25,0.0,0,-0.0,0.0,2.170486013142181e-13,-1.1854961456947422e-12,4142.7940887860395,-3.993250174971763e-12,-6.210143510543276e-12,-1381.9931036079743,2.170486013142181e-13,-1.1854961456947422e-12,4142.7940887860395,-3.993250174971763e-12,-6.210143510543276e-12,-1381.9931036079743
45,0,-24,0.0,0,-0.0,0.0,2.170486013142181e-13,-1.1854961456947422e-12,4142.7940887860395,-3.993250174971763e-12,-6.210143510543276e-12,-1381.9931036079743,2.170486013142181e-13,-1.1854961456947422e-12,4142.7940887860395,-3.993250174971763e-12,-6.210143510543276e-12,-1381.9931036079743
45,0,-23,0.0,0,-0.0,0.0,2.170486013142181e-13,-1.1854961456947422e-12,4142.7940887860395,-3.993250174971763e-12,-6.210143510543276e-12,-1381.9931036079743,2.170486013142181e-13,-1.1854961456947422e-12,4142.7940887860395,-3.993250174971763e-12,-6.210143510543276e-12,-1381.9931036079743
45,0,-22,0.0,0,-0.0,0.0,2.170486013142181e-13,-1.1854961456947422e-12,4142.7940887860395,-3.993250174971763e-12,-6.210143510543276e-12,-1381.9931036079743,2.170486013142181e-13,-1.1854961456947422e-12,4142.7940887860395,-3.993250174971763e-12,-6.210143510543276e-12,-1381.9931036079743
45,0,-21,0.0,0,-0.0,0.0,2.170486013142181e-13,-1.1854961456947422e-12,4142.7940887860395,-3.993250174971763e-12,-6.210143510543276e-12,-1381.9931036079743,2.170486013142181e-13,-1.1854961456947422e-12,4142.7940887860395,-3.993250174971763e-12,-6.210143510543276e-12,-1381.9931036079743
45,0,-20,0.0,0,-0.0,0.0,2.170486013142181e-13,-1.1854961456947422e-12,4142.7940887860395,-3.993250174971763e-12,-6.210143510543276e-12,-1381.9931036079743,2.170486013142181e-13,-1.1854961456947422e-12,4142.7940887860395,-3.993250174971763e-12,-6.210143510543276e-12,-1381.9931036079743
45,0,-19,0.0,0,-0.0,0.0,2.170486013142181e-13,-1.1854961456947422e-12,4142.7940887860395,-3.993250174971763e-12,-6.210143510543276e-12,-1381.9931036079743,2.170486013142181e-13,-1.1854961456947422e-12,4142.7940887860395,-3.993250174971763e-12,-6.210143510543276e-12,-1381.9931036079743
45,0,-18,0.0,0,-0.0,0.0,2.170486013142181e-13,-1.1854961456947422e-12,4142.7940887860395,-3.993250174971763e-12,-6.210143510543276e-12,-1381.9931036079743,2.170486013142181e-13,-1.1854961456947422e-12,4142.7940887860395,-3.993250174971763e-12,-6.210143510543276e-12,-1381.9931036079743
45,0,-17,0.0,0,-0.0,0.0,2.170486013142181e-13,-1.1854961456947422e-12,4142.7940887860395,-3.993250174971763e-12,-6.210143510543276e-12,-1381.9931036079743,2.170486013142181e-13,-1.1854961456947422e-12,4142.7940887860395,-3.993250174971763e-12,-6.210143510543276e-12,-1381.9931036079743
45,0,-16,0.0,0,-0.0,0.0,2.170486013142181e-13,-1.1854961456947422e-12,4142.7940887860395,-3.993250174971763e-12,-6.210143510543276e-12,-1381.9931036079743,2.170486013142181e-13,-1.1854961456947422e-12,4142.7940887860395,-3.993250174971763e-12,-6.210143510543276e-12,-1381.9931036079743
