WindMagnitude,Azimuth,Fx,Fy,Fz,Qx,Qy,Qz
12,0.0,130.9418787713368,-7.060563100445888,3919.2543254985603,1095.6458098031342,42.694838171475176,-1306.457971572489
12,36.0,122.29731396468262,-0.9777967936340177,3919.25432549856,1043.6708936092698,85.39647701182913,-1306.45797157249
12,72.0,119.18357686572145,-11.078944645154317,3919.254325498559,1019.120354118801,22.769862192428867,-1306.457971572488
12,108.0,129.75253703156585,-10.918858254337948,3919.2543254985703,1086.2683381599256,18.773599910814905,-1306.4579715724924
12,144.0,126.33429752229239,-0.9166492334767375,3919.2543254985667,1069.3191412369601,83.87004064821707,-1306.4579715724915
12,180.0,117.87792555486526,-7.258440761766187,3919.2543254985676,1012.6463369762431,47.63449000746783,-1306.4579715724917
12,216.0,126.52249036152003,-13.341207068578516,3919.2543254985712,1064.6212531701083,4.932851167123275,-1306.457971572493
12,252.0,129.6362274604833,-3.240059217056806,3919.2543254985703,1089.1717926605913,67.55946598653397,-1306.457971572492
12,288.0,119.06726729463772,-3.400145607872752,3919.254325498569,1022.0238086194535,71.55572826815418,-1306.457971572492
12,324.0,122.48550680391148,-13.402354628733157,3919.2543254985626,1038.9730055424175,6.459287530759056,-1306.4579715724906
