x_position,wind_velocity_x,wind_velocity_y,wind_velocity_z
150,-8.939305,-0.22455743,-1.7066369
155,-8.893836,-0.14847144,-1.4699838
160,-8.76586,-0.05432841,-1.251168
165,-8.579206,0.07249421,-0.98530877
170,-8.354148,0.23902008,-0.58204585
175,-8.106417,0.3901664,-0.14162776
180,-7.9135265,0.49617487,0.21955544
185,-7.872324,0.5111697,0.45359802
190,-8.0419235,0.37285286,0.57910186
195,-8.390512,0.037974194,0.68630344
200,-8.716308,-0.43022433,0.8061095
205,-8.976261,-0.84679556,0.9012836
210,-9.054194,-1.0404892,0.95078087
215,-9.080181,-1.0497029,0.92186105
220,-9.0629425,-0.9782959,0.82697034
225,-9.022322,-0.91658604,0.72299826
230,-8.959076,-0.8840595,0.6913073
235,-8.842357,-0.8922679,0.766052
240,-8.646402,-0.9570645,0.9439467
245,-8.398771,-0.9946931,1.2099135
250,-8.115544,-0.9736974,1.5240266
255,-7.755037,-0.95391047,1.8291934
260,-7.3926754,-0.9301402,1.9312583
265,-6.9139833,-0.9299586,1.8578116
270,-6.5161133,-0.9272121,1.5704275
275,-6.1951523,-0.95825815,1.0867571
280,-5.901544,-1.0176198,0.4963217
285,-5.6191916,-1.0028238,-0.03346169
290,-5.3532677,-0.89817196,-0.60134023
295,-4.988622,-0.674633,-1.2758722
300,-4.4778824,-0.48797762,-2.0440652
305,-4.1715937,-0.99055886,-2.2710805
310,-4.235487,-1.9683833,-1.9395064
315,-4.28353,-2.3382666,-1.6877143
320,-4.214667,-2.0870771,-1.5291824
325,-4.2495265,-1.7639999,-1.2387979
330,-4.604143,-1.7399215,-0.69017005
335,-5.1916957,-2.012285,-0.01606679
340,-5.821662,-2.200033,0.4650877
345,-6.383552,-2.0409968,0.7007482
350,-6.8432927,-1.675613,0.8730227
355,-7.1274533,-1.2192415,1.019301
360,-7.2364173,-0.70516485,1.1202064
365,-7.2103004,-0.21313977,1.0306761
370,-7.126663,0.25084594,0.9721626
375,-6.9868555,0.6434029,0.84595525
380,-6.7965107,0.9205283,0.7547256
385,-6.5720983,1.0685797,0.725585
390,-6.326543,1.1079464,0.74145335
395,-6.0817375,1.0687844,0.7594287
400,-5.8614063,0.97474205,0.75687337
405,-5.6908083,0.8304955,0.73764944
410,-5.590033,0.62054366,0.7152677
415,-5.5599165,0.32314909,0.6953546
420,-5.581488,-0.060472757,0.6774315
425,-5.6285,-0.49154845,0.6659318
430,-5.686295,-0.909694,0.66988623
435,-5.75103,-1.261518,0.68780065
440,-5.821504,-1.5206175,0.71939373
445,-5.89647,-1.6755406,0.76472855
450,-5.977086,-1.7332525,0.8244487
