x_position,force_x,force_y,force_z
150,-99.47567125114632,-4.360990216371906,3841.054732010354
155,-101.3108979022875,-3.8526908560960926,3913.6503901174206
160,-102.15481665452621,-3.2504769915018197,3981.92703937535
165,-102.27517416924039,-2.3928495892448773,4039.122884266193
170,-102.28036878275775,-1.103610052806956,4084.1658552125864
175,-102.38917477101064,-0.009083750778475008,4111.236397745015
180,-101.93620057031451,0.84838727933572,4116.28701722702
185,-99.9158763525127,1.6440648747271285,4110.41534161362
190,-96.08782070953839,2.501507633740914,4113.620506713239
195,-91.10390531130741,2.7714406008552412,4144.1465396586045
200,-87.30312953270231,1.964384324869642,4219.744604169611
205,-84.34679334254777,0.24066093049436454,4291.5881506807145
210,-83.59445287709667,-1.9179237763493642,4345.142933105091
215,-84.95552474449585,-3.8691341546085516,4371.53440220451
220,-87.50063470246482,-6.128476656216972,4372.399128103432
225,-90.41688836573626,-7.68056588029483,4357.511968329612
230,-93.5995331067906,-7.508214789085436,4359.059853618435
235,-95.78006108333928,-7.2161695388548575,4387.615545724076
240,-96.51295538452614,-6.9843228261785235,4438.44570647412
245,-96.33921772555163,-6.258525470167376,4515.136688762962
250,-95.72011642189695,-6.114296916503413,4602.6253942067915
255,-95.3819994671272,-7.932698483154271,4680.5947399374345
260,-94.97053389625567,-10.062745947597412,4740.022688454288
265,-94.09517399488333,-11.485884865695985,4769.9075103832065
270,-92.78415953767568,-13.614874673480674,4767.559327338117
275,-91.21999585891932,-14.793495524226769,4734.698942555725
280,-88.3619749113982,-17.027997195952484,4656.110448137432
285,-85.96572030430953,-18.936455765670754,4532.031718289243
290,-85.62804551680418,-18.772035779607137,4386.041909581582
295,-87.07089090460121,-16.554375813649237,4266.07260022122
300,-88.40389896835215,-15.843191810382187,4180.6657614398
305,-90.7365334232497,-18.169428163192496,4098.984674213536
310,-90.1553664661828,-18.640414845791305,4008.2843327839873
315,-85.04652222155764,-18.043733410222337,3945.582100622864
320,-78.75802112320798,-17.81611290730827,3919.227171144592
325,-73.04229972233655,-15.548505342522814,3910.6876585562063
330,-67.76068040038646,-14.766478087167785,3899.8737859954563
335,-63.14045648072161,-16.260694020089982,3888.576273905735
340,-59.48203076732235,-17.874879222693533,3865.0880821551614
345,-57.60046050274851,-17.919307883670847,3859.64128261518
350,-57.94299011566987,-16.015885415043492,3890.028549688652
355,-58.78589632315813,-13.097109933889037,3937.474653046018
360,-59.24428469590861,-8.820469326511866,3991.0694266333526
365,-59.81505494208932,-3.6901576240564284,4046.5968453635855
370,-61.0670751130663,0.6398456187188649,4099.912721633408
375,-62.21531127244672,4.073785452791307,4147.307738906233
380,-63.06252972934014,6.529490898243037,4180.474933425529
385,-62.98765924488249,7.899378944981556,4197.282570613905
390,-61.97393848383704,8.00392994740366,4199.358067137279
395,-60.135383385264994,6.765669396746056,4190.990887679354
400,-57.79835559470625,4.4015281339045735,4173.747362999384
405,-55.30693727736871,1.4976800983816245,4147.006131337412
410,-52.92950185469531,-1.4828416879064839,4109.5447152130355
415,-50.89600951237733,-4.296333542147343,4067.358101840665
420,-49.37976727047906,-7.097715215991117,4028.6219478945427
425,-48.48758718926855,-10.101767819821829,4000.0620330551615
430,-48.240993280893846,-12.971930632481781,3983.3271333643115
435,-48.461548088474956,-15.210315057804896,3978.840723458921
440,-48.95879809918331,-16.3966996952263,3988.5985904747017
445,-49.69891649968494,-16.49872993486204,4012.5871248413723
450,-50.64557523216621,-15.829527091035922,4048.1087449669603
