WindMagnitude,Fx,Fy,Fz,Qx,Qy,Qz
0,3.7024166525832947e-13,2.9629755439310025e-13,4142.794088786085,3.6110497308388606e-12,8.154859503722239e-13,-1381.993103607991
2,21.099722959178465,-1.2722032876854263,4144.164202142552,177.89018578538122,7.569780624381281,-1382.3863702906156
4,42.19944591835663,-2.5444065753709473,4148.274542211889,355.7803715707597,15.139561248766036,-1383.5661703384644
6,63.299168877534775,-3.816609863056503,4155.125108994119,533.6705573561375,22.709341873149725,-1385.5325037515472
8,84.39889183671288,-5.088813150742022,4164.715902489241,711.5607431415153,30.279122497534217,-1388.2853705298626
10,105.49861479589104,-6.361016438427597,4177.046922697255,889.450928926893,37.8489031219181,-1391.8247706734114
12,126.59833775506917,-7.633219726113111,4192.11816961816,1067.3411147122708,45.41868374630232,-1396.150704182193
