x_position,moment_x,moment_y,moment_z
150,-13705.16285987741,-14645.32615046713,902.9077115977198
155,-14015.21080141183,-14952.652134801281,943.4191517336168
160,-14400.45858374574,-15339.236318366766,991.4699190253577
165,-14863.468556624328,-15781.396805795626,1046.1259167106755
170,-15295.823832985521,-16159.879889165068,1096.0712987271245
175,-15593.149702134464,-16405.44003061928,1123.954303171999
180,-15715.845890881164,-16514.35793754053,1119.6923613660351
185,-15753.091187820697,-16586.756352352277,1091.0132364991812
190,-15809.865563166615,-16681.557994118175,1056.1375219729816
195,-15885.31348539919,-16768.38597864817,1026.3790951592407
200,-15944.201733914884,-16835.26895099972,1012.685573422751
205,-15932.889665032057,-16824.157732296142,1003.663626104619
210,-15838.645991077112,-16727.34235867541,997.3639807715524
215,-15716.702348310579,-16601.785908849557,993.5891272302191
220,-15648.168229225557,-16535.42939262097,996.1449870980008
225,-15681.001169329878,-16571.15606275167,1007.5994113194487
230,-15827.035633810096,-16709.00660589371,1029.2654148509519
235,-16097.977360813646,-16967.741167041673,1062.645124549933
240,-16466.403445044547,-17325.803326547473,1103.83081028662
245,-16864.776663357534,-17708.969854801326,1144.938453261184
250,-17079.62230219399,-17884.03975603531,1168.1049528872898
255,-17154.48485545486,-17900.863018842385,1179.1615124587438
260,-16974.924075842184,-17673.731854684862,1169.8431250072329
265,-16581.447830938938,-17243.928761278832,1139.1545691601577
270,-16033.332554331484,-16675.703056721955,1098.1309929812617
275,-15509.475846661431,-16136.390135664755,1069.3775628399972
280,-14990.12868644762,-15575.691883416148,1043.9617068623666
285,-14411.390883141157,-14950.563958297673,1014.8433599439518
290,-13699.655034995005,-14222.833639115011,976.0973812091297
295,-13196.626528173105,-13668.392814822684,969.4766267431169
300,-13348.098294727273,-13683.357467667618,975.5098051448313
305,-13685.7393098616,-13950.247305087203,977.5361587936131
310,-13883.809455688397,-14163.223832181144,1003.8577966662506
315,-14149.600257783019,-14426.470576249265,1053.5349829828072
320,-14559.615107312844,-14822.98674272577,1105.329119959426
325,-15067.635331453157,-15323.638157673982,1137.6315224435991
330,-15508.98621226933,-15765.19875360947,1140.9210433080095
335,-15748.203456901947,-16054.880414498517,1132.8674052245044
340,-15883.081113327196,-16289.51236952942,1132.7716036133131
345,-16035.7326080398,-16529.511317832694,1146.6851174157252
350,-16181.304361041977,-16731.374285076014,1173.681290579895
355,-16190.44898188789,-16753.235682520743,1179.842162677037
360,-16131.375480801978,-16751.205383552326,1196.3471118439668
365,-16025.897614020023,-16682.940862019725,1200.2387991373116
370,-15932.812427266439,-16624.510945622707,1204.433588731997
375,-15902.791484202808,-16615.48287023508,1211.1956095467697
380,-15935.95199482802,-16652.084241353507,1220.226790963862
385,-15989.471709709076,-16688.500057891953,1229.143647976566
390,-16025.6879865824,-16692.88067819402,1235.6481377545115
395,-16031.300197356119,-16656.732171957858,1238.4588183114508
400,-16014.334352872833,-16590.838631121853,1236.7070811456128
405,-15984.76827074461,-16508.9843103467,1228.8628280228695
410,-15946.819190319713,-16420.719258916502,1215.502127690162
415,-15908.907527774429,-16336.82752328998,1199.4860376461968
420,-15884.245414834908,-16273.198611481155,1184.3893806676022
425,-15879.105176582672,-16239.176697749388,1172.0943500715534
430,-15889.842038374281,-16235.969208206801,1162.9584370306084
435,-15917.090540722806,-16265.06568543879,1156.7530240263711
440,-15962.624801720558,-16328.521878464679,1153.0838778899636
445,-16023.243357487447,-16416.810241076153,1151.8757825116215
450,-16088.076824839667,-16509.22486178329,1153.8046067258224
