time,prop1_force_x,prop1_force_y,prop1_force_z,prop2_force_x,prop2_force_y,prop2_force_z,prop3_force_x,prop3_force_y,prop3_force_z,prop4_force_x,prop4_force_y,prop4_force_z
0.01,-0.1355439798548932,-0.0041412787681305435,2.15983417290935,-0.12828650185702475,0.005255756862999904,2.1592545908447796,-0.12828650185702492,0.0052557568629999106,2.159254590844779,-0.13554397985489314,-0.004141278768130547,2.1598341729093518
0.02,-0.13615784469103784,-0.00422587880027506,2.1602784095161764,-0.1289160267926786,0.005211591866367354,2.1596897086961158,-0.12891602679267863,0.005211591866367292,2.1596897086961158,-0.13615784469103714,-0.0042258788002750135,2.1602784095161756
0.03,-0.13800232288654815,-0.0044803841801240255,2.1616108888696273,-0.13080758840254428,0.005078533269533239,2.160994867454713,-0.13080758840254553,0.00507853326953344,2.160994867454716,-0.13800232288654737,-0.004480384180124007,2.1616108888696326
0.04,-0.14170318960971107,-0.004992303970335438,2.164273963761922,-0.13460302736920246,0.004810072456305329,2.163603454306537,-0.13460302736920246,0.004810072456305417,2.163603454306533,-0.14170318960971087,-0.004992303970335585,2.1642739637619246
0.05,-0.147904807880391,-0.005853695508002608,2.168705231890152,-0.1409633700700067,0.004355997935898047,2.167944354112181,-0.14096337007000667,0.004355997935898203,2.1679443541121763,-0.1479048078803911,-0.0058536955080026815,2.168705231890155
0.06,-0.15728317578905096,-0.00716440678646301,2.175332325859107,-0.15058227302812674,0.003659712440466303,2.174436937620186,-0.15058227302812655,0.00365971244046642,2.174436937620182,-0.15728317578905043,-0.007164406786463052,2.175332325859112
0.07,-0.1705625501801694,-0.009036303370347765,2.1845647895349214,-0.164203154704761,0.0026546986291069007,2.18348321609767,-0.16420315470476043,0.002654698629106847,2.183483216097663,-0.17056255018016842,-0.009036303370347595,2.1845647895349156
0.08,-0.1885357307487187,-0.01159860640274338,2.1967817035392785,-0.1826401131264384,0.0012599968129213908,2.195455853039941,-0.18264011312643644,0.0012599968129212058,2.1954558530399324,-0.18853573074871788,-0.011598606402743357,2.196781703539272
0.09,-0.21208801044587805,-0.01500450637034214,2.2123129903660432,-0.20680265723733324,-0.0006254896196400078,2.2106800058503397,-0.20680265723732977,-0.0006254896196402628,2.2106800058503175,-0.212088010445876,-0.015004506370341807,2.212312990366031
0.1,-0.24222457304667422,-0.01943924001253259,2.2314113308433665,-0.2377240653441515,-0.00313008511184707,2.229405991122512,-0.2377240653441479,-0.00313008511184748,2.2294059911224977,-0.24222457304667308,-0.019439240012532357,2.2314113308433594
0.11,-0.28010061670072506,-0.025129798806347112,2.2542102693600743,-0.27659269713894574,-0.006418063739732934,2.2517684387841066,-0.27659269713894236,-0.006418063739733375,2.251768438784098,-0.2801006167007245,-0.025129798806346935,2.2542102693600694
0.12,-0.3270524835953326,-0.032356327501674026,2.280662267206203,-0.32478460928770003,-0.010700176794036646,2.2777258162489176,-0.3247846092876981,-0.010700176794036865,2.2777258162489114,-0.3270524835953315,-0.032356327501673776,2.280662267206197
0.13,-0.38462621511565853,-0.04146497987061936,2.3104480728615546,-0.3838939967494957,-0.016245954215103428,2.306971856336572,-0.38389399674949437,-0.01624595421510332,2.30697185633657,-0.3846262151156567,-0.041464979870618895,2.31044807286155
0.14,-0.4545966319372895,-0.052881364573910274,2.342845757822219,-0.45575471114593064,-0.023397253665827015,2.3388074540523864,-0.45575471114592875,-0.023397253665827084,2.33880745405238,-0.45459663193728855,-0.05288136457390981,2.342845757822216
0.15,-0.538964306253608,-0.06712245520975489,2.376544233335289,-0.5424404482612961,-0.03258150089249446,2.371958118389014,-0.5424404482612927,-0.032581500892494376,2.371958118389004,-0.5389643062536071,-0.0671224552097545,2.3765442333352875
0.16,-0.6399081799565971,-0.0848024796709689,2.4093825741390247,-0.6462216901701203,-0.04432107418849915,2.404318615669937,-0.646221690170118,-0.04432107418849899,2.404318615669934,-0.6399081799565951,-0.0848024796709683,2.4093825741390185
0.17,-0.7596559477110346,-0.106624075904226,2.4379945705547392,-0.7694420034035824,-0.059231639412701764,2.432604518944854,-0.7694420034035777,-0.059231639412701556,2.4326045189448426,-0.7596559477110326,-0.10662407590422515,2.437994570554732
0.18,-0.900209848286395,-0.13333874051292777,2.4573411841139925,-0.9142520168850065,-0.07799587767850243,2.451893465288383,-0.9142520168850058,-0.07799587767850238,2.4518934652883853,-0.9002098482863918,-0.13333874051292638,2.457341184113978
0.19,-1.0628292344449597,-0.16564874124902723,2.460129503525493,-1.082103350267333,-0.10128852269491068,2.455054340884633,-1.0821033502673374,-0.10128852269491109,2.4550543408846583,-1.0628292344449533,-0.16564874124902496,2.4601295035254673
0.2,-1.247122187526275,-0.20400463584902004,2.436159971540928,-1.272855795055441,-0.12961245297675872,2.43210458888524,-1.27285579505545,-0.12961245297676008,2.4321045888852755,-1.2471221875262641,-0.20400463584901649,2.4361599715408904
