RPM,WindMagnitude,AngleDegrees,AzimuthAngle,Fx,Fy,Fz,Qx,Qy,Qz
45,0,5,72.0,3.1312730186527915e-12,-3.0382363291892034e-12,4142.79408878611,2.823163924858818e-11,-4.437694656189706e-11,-1381.9931036079997
45,0,5,108.0,4.41324754518746e-12,8.339440249471863e-13,4142.794088786102,5.288569582262426e-11,-3.2249758419311547e-12,-1381.9931036079986
45,0,5,144.0,4.3461900745001e-12,3.778422019706795e-12,4142.794088786108,5.7692517430041335e-11,3.881073240563637e-11,-1381.9931036079984
45,0,5,180.0,1.0612621892391871e-12,4.020006549865229e-12,4142.794088786098,1.8397727785668394e-11,4.361666583463375e-11,-1381.9931036079959
45,0,5,216.0,-1.222228915298551e-12,2.4791280139879746e-12,4142.794088786096,-5.165867733580853e-12,2.8705926524708048e-11,-1381.9931036079945
45,0,5,252.0,-1.887601186467691e-12,1.5083490012557377e-12,4142.794088786099,-1.943689653671754e-11,2.397015919086698e-11,-1381.9931036079959
45,0,5,288.0,-3.1917801734948625e-12,7.533973445106312e-13,4142.794088786094,-4.04440925194649e-11,1.0750511592050316e-11,-1381.9931036079945
45,0,5,324.0,-1.1548539902150878e-12,-2.357336548186595e-12,4142.794088786096,-1.8381740574113792e-11,-2.4149571231646405e-11,-1381.993103607995
45,0,10,0.0,-6.777911565336581e-13,-2.1479484857422904e-12,4142.7940887861005,-1.7271517549488635e-11,-2.4783730623312294e-11,-1381.9931036079972
45,0,10,36.0,3.941187654010747e-13,-2.7883251263460807e-12,4142.794088786102,2.369215934550084e-13,-4.453326596376428e-11,-1381.9931036079975
45,0,10,72.0,3.753997113165042e-12,-2.3931967518819874e-12,4142.794088786105,4.0401459955319297e-11,-3.8252068179644994e-11,-1381.993103607999
45,0,10,108.0,4.695799304954562e-12,1.5276668818842154e-12,4142.794088786103,6.295053367466608e-11,8.686384944667225e-12,-1381.9931036079995
45,0,10,144.0,4.050093593832571e-12,4.716838031271209e-12,4142.794088786111,5.45981038158061e-11,5.381384227121089e-11,-1381.993103608
45,0,10,180.0,2.958744360626042e-13,4.421907284779536e-12,4142.794088786109,1.1510792319313623e-11,5.009326287108706e-11,-1381.9931036079995
45,0,10,216.0,-1.7731562745870733e-12,2.773337115513641e-12,4142.794088786101,-1.3022694034248161e-11,3.233679990444216e-11,-1381.9931036079965
45,0,10,252.0,-2.681410649074678e-12,1.429634188809814e-12,4142.794088786108,-2.7069901875620417e-11,1.809397076613095e-11,-1381.993103607999
45,0,10,288.0,-3.7247982476174e-12,-1.3700152123874432e-13,4142.7940887861,-4.745714932141709e-11,2.433608869978343e-13,-1381.9931036079965
45,0,10,324.0,-1.9085844016331066e-12,-2.9000135626233714e-12,4142.7940887861,-3.19033688356285e-11,-3.006661586368864e-11,-1381.993103607996
