x_position,wind_velocity_x,wind_velocity_y,wind_velocity_z,wind_magnitude,alpha_rad,alpha_deg
150,-9.055817,-0.27350166,-1.2388378,9.144251953561898,0.13918855075190167,7.974916514626427
155,-8.920122,-0.24979842,-0.96198446,8.975321155635601,0.11096321911366053,6.357724136398136
160,-8.703113,-0.18341875,-0.64188266,8.72867869026173,0.07655535315675124,4.38629863501537
165,-8.443329,0.069182605,-0.30065775,8.448963600212197,0.03652321255267857,2.092625933527712
170,-8.082439,0.4406227,-0.044147044,8.0945609833993,0.054734279242322326,3.1360431952755787
175,-7.6779304,0.77228826,0.08386785,7.7171288832079,0.10083371166160585,5.777346110849086
180,-7.411591,0.9465668,0.16273028,7.473563474151545,0.12886978814502645,7.383694967455066
185,-7.4036884,0.8992629,0.2940599,7.463896228672997,0.12710161081922985,7.282385869256192
190,-7.613261,0.56892574,0.57473266,7.6560915082192045,0.10582559683045245,6.063360062837947
195,-7.7894874,0.060917318,0.9295292,7.844988808662745,0.11902199170679877,6.819457794040654
200,-8.0263605,-0.39055604,1.2349168,8.130191658212182,0.15998959584351038,9.166728607836923
205,-8.127289,-0.63320404,1.4057927,8.272244372669766,0.18748076108204445,10.741856349901685
210,-8.186901,-0.7525974,1.4000357,8.339775224282862,0.1917655588904247,10.987357180388777
215,-8.241064,-0.8433046,1.2455939,8.377219268002621,0.1805395097160703,10.344151942091948
220,-8.313342,-0.9014029,1.0204271,8.424099587701159,0.1623367990342098,9.30121344432364
225,-8.41469,-0.8633368,0.86441636,8.502915609940505,0.1441798707256047,8.26089808331896
230,-8.495779,-0.77217245,0.8439052,8.572437640249538,0.13383433844239,7.668142746674415
235,-8.47778,-0.7126232,0.95363283,8.560957956212146,0.13951156120451527,7.993423650299797
240,-8.393646,-0.612995,1.216605,8.503480685540834,0.16089959869948042,9.218867930828857
245,-8.272946,-0.51196784,1.6109766,8.443873056474606,0.20155097337971833,11.548020131411466
250,-8.081282,-0.5332365,2.0659568,8.358207788032221,0.2581348023679337,14.790034721126208
255,-7.858261,-0.6605197,2.237615,8.197284495882407,0.2886045474732983,16.535822518502997
260,-7.4991736,-0.7339129,2.3536363,7.8940380452846215,0.3176263653897234,18.198650198911313
265,-7.143079,-0.7782198,2.2893906,7.541254071884954,0.32640732529974553,18.701762141829157
