Time_s,Rotor_Speed_rad_s,Current_A,Voltage_V,Motor_Torque_Nm,Aero_Torque_Nm,Speed_Error_rad_s
0.0,45.0,0.0,0.0,0.0,-1319.3412513992969,0.0
1.0,41.56273630605761,63.222518787837956,363.9940207479029,546.9533196101969,-1340.2829989943064,3.4372636939423913
2.0,39.658790734034135,113.06147159866744,349.954056636676,979.9978811737429,-1356.6741477460912,5.341209265965865
3.0,38.98453452103741,151.06370670634558,345.99714587297547,1310.3256250805362,-1367.570668990459,6.015465478962589
4.0,39.204463367829945,176.95363807794894,349.19742493102,1535.4848012607245,-1369.735981941389,5.795536632170055
5.0,40.005554662662426,191.71026069230922,356.8867008047537,1663.9413450554352,-1365.3984669355154,4.994445337337574
6.0,41.11102377161264,197.2461614974261,366.75795907340216,1712.276581248477,-1362.2697989168637,3.8889762283873566
7.0,42.28520483454951,196.14644919604217,376.8947084858869,1702.9177194585657,-1370.7322617340446,2.7147951654504894
8.0,43.33954622082313,191.35768637332782,385.8074654556195,1661.4385723431728,-1395.5891507326296,1.6604537791768692
9.0,44.152672744619835,185.58637142944593,392.5777693162877,1611.3461863442324,-1426.6809708093574,0.847327255380165
10.0,44.699461591499706,180.425504169763,397.0668557191733,1566.5064729066341,-1453.0003703765933,0.30053840850029445
11.0,45.022476306609136,176.4182819983095,399.6710949007517,1531.6691424549063,-1469.2896173769698,-0.022476306609135577
12.0,45.188634081149935,173.4953351280978,400.96777641795643,1506.2512879219732,-1475.2070960918222,-0.18863408114993518
13.0,45.26044958160213,171.35064331417007,401.484247358425,1487.6029091445203,-1470.3014442630415,-0.2604495816021313
14.0,45.29037075461807,169.53773191553756,401.65347099179013,1471.851142744099,-1463.755789795888,-0.29037075461806694
15.0,45.29340041857297,168.02949086817924,401.6044518204122,1458.74712120377,-1467.411864015636,-0.29340041857297194
16.0,45.25197954940295,167.3032040946055,401.2087596080265,1452.4180784864486,-1480.193910262797,-0.25197954940294665
17.0,45.16249549740371,167.63642300258127,400.4488634481035,1455.2788509643851,-1502.2157157197337,-0.16249549740371094
18.0,45.027824752490865,169.21730890079468,399.35911636482956,1468.965989398322,-1532.6119160112978,-0.027824752490865023
