Time_s,Current_A,Voltage_V,RotorSpeed_rads,AeroTorque_Nm,MotorTorque_Nm,SpeedError_rads
0.0,0.0,0.0,45.0,-1319.3412513992969,0.0,0.0
1.0,63.222518787837956,363.9940207479029,41.56273630605761,-1340.2829989943064,546.9533196101969,3.4372636939423913
2.0,113.06147159866744,349.954056636676,39.658790734034135,-1356.6741477460912,979.9978811737429,5.341209265965865
3.0,151.06370670634558,345.99714587297547,38.98453452103741,-1367.570668990459,1310.3256250805362,6.015465478962589
4.0,176.95363807794894,349.19742493102,39.204463367829945,-1369.735981941389,1535.4848012607245,5.795536632170055
5.0,191.71026069230922,356.8867008047537,40.005554662662426,-1365.3984669355154,1663.9413450554352,4.994445337337574
6.0,197.2461614974261,366.75795907340216,41.11102377161264,-1362.2697989168637,1712.276581248477,3.8889762283873566
7.0,196.14644919604217,376.8947084858869,42.28520483454951,-1370.7322617340446,1702.9177194585657,2.7147951654504894
8.0,191.35768637332782,385.8074654556195,43.33954622082313,-1395.5891507326296,1661.4385723431728,1.6604537791768692
9.0,185.58637142944593,392.5777693162877,44.152672744619835,-1426.6809708093574,1611.3461863442324,0.847327255380165
10.0,180.425504169763,397.0668557191733,44.699461591499706,-1453.0003703765933,1566.5064729066341,0.30053840850029445
11.0,176.4182819983095,399.6710949007517,45.022476306609136,-1469.2896173769698,1531.6691424549063,-0.022476306609135577
12.0,173.4953351280978,400.96777641795643,45.188634081149935,-1475.2070960918222,1506.2512879219732,-0.18863408114993518
13.0,171.35064331417007,401.484247358425,45.26044958160213,-1470.3014442630415,1487.6029091445203,-0.2604495816021313
14.0,169.53773191553756,401.65347099179013,45.29037075461807,-1463.755789795888,1471.851142744099,-0.29037075461806694
15.0,168.02949086817924,401.6044518204122,45.29340041857297,-1467.411864015636,1458.74712120377,-0.29340041857297194
16.0,167.3032040946055,401.2087596080265,45.25197954940295,-1480.193910262797,1452.4180784864486,-0.25197954940294665
17.0,167.63642300258127,400.4488634481035,45.16249549740371,-1502.2157157197337,1455.2788509643851,-0.16249549740371094
18.0,169.21730890079468,399.35911636482956,45.027824752490865,-1532.6119160112978,1468.965989398322,-0.027824752490865023
19.0,172.10561927159767,398.02531813137824,44.85751040134529,-1563.3480366884028,1494.0022015007153,0.14248959865471278
20.0,175.91478700511254,396.6993862744747,44.682810683945696,-1586.0202297508206,1527.0448796476862,0.31718931605430356
21.0,179.90374437436517,395.7142273286635,44.54635213699999,-1597.5732456689125,1561.6712440138854,0.4536478630000076
22.0,183.33342926316226,395.30442144111095,44.479412476052026,-1598.9097463616831,1591.4648966496504,0.5205875239479738
23.0,185.6894945461014,395.5335541054384,44.492271153605046,-1585.9031962439533,1611.9532127304703,0.5077288463949543
24.0,186.42291100501507,396.444514709389,44.59303110588414,-1561.3461377382505,1618.3702525730253,0.4069688941158631
25.0,185.3163112578462,397.92412314754694,44.76989698506723,-1520.6316654904342,1608.8189685203315,0.23010301493277296
26.0,182.0570786225185,399.91533906352004,45.018101269571204,-1470.1255641853909,1580.587942795451,-0.01810126957120417
27.0,176.79267142539814,402.1815666302843,45.30952767332382,-1423.7232225686237,1534.9438981812427,-0.3095276733238208
28.0,170.37680435835233,404.24956306381193,45.5847249399915,-1393.559312267938,1479.2769977722967,-0.5847249399915029
29.0,164.10736824454654,405.59612602439705,45.77593669507254,-1367.4824511249683,1424.8414597112187,-0.7759366950725379
30.0,158.4137887573195,406.21665785689606,45.8801865108784,-1334.164132143247,1375.3918379771865,-0.8801865108784028
31.0,153.04445780379086,406.4161433233626,45.93407682634164,-1309.8378466556069,1328.7658241038982,-0.9340768263416379
32.0,148.51304116759295,406.113556411075,45.925293581184015,-1300.5623936557631,1289.4004396780936,-0.9252935811840146
33.0,145.43333216919694,405.1993283209816,45.83767624397854,-1297.585230853552,1262.6201095386818,-0.8376762439785423
34.0,143.80138706814574,403.8558766013347,45.692278744883325,-1298.898933570795,1248.4090818903726,-0.6922787448833247
35.0,143.45491127911072,402.2976474874218,45.51474338548306,-1300.7516242863187,1245.3637921628358,-0.5147433854830581
36.0,144.02069679314317,400.7685773233202,45.335324850080895,-1297.5128897809795,1250.2503164905013,-0.3353248500808945
37.0,144.89430090666002,399.5363858866974,45.18834979119377,-1292.7754190664414,1257.8278579287244,-0.18834979119377238
38.0,145.76536185522585,398.66430122228246,45.0828799321837,-1298.1253618098613,1265.3929387180829,-0.08287993218370104
39.0,146.9636617502875,397.9204166821124,44.9902826611861,-1313.358214730766,1275.7886740377974,0.0097173388138998
40.0,148.76367861375505,397.1509172155713,44.891260120463116,-1328.4448680945331,1291.3989670695646,0.10873987953688413
41.0,150.9216889264408,396.4650389798185,44.7998148913525,-1341.5183971172078,1310.1239174483158,0.20018510864750283
42.0,153.16833215027168,395.9605525686307,44.728762051984056,-1360.325919132597,1329.6265599885357,0.27123794801594414
43.0,155.66982112889144,395.5269636471241,44.66440326931299,-1378.9267875194516,1351.3366718635236,0.33559673068700846
44.0,158.27628193321868,395.2062852109169,44.61245011196732,-1393.287635867317,1373.962056927882,0.3875498880326802
45.0,160.69373911147872,395.0940224645352,44.5856017398394,-1402.9902349158383,1394.9553407850312,0.41439826016060266
46.0,162.6850308910729,395.23496263185655,44.59038148128978,-1407.1336408374527,1412.2559649550476,0.4096185187102179
47.0,164.04013559259744,395.6440273653366,44.62971673843747,-1406.6135346996225,1424.0396107337888,0.3702832615625269
48.0,164.66683456321908,396.2784568734072,44.69920949542482,-1402.96534650279,1429.5020685118304,0.30079050457518264
