x_position,force_x,force_y,force_z
150,-95.93095371391762,-3.2711100559975,3830.723701991741
155,-93.94666224598151,-1.2180909515864353,3907.216799655831
160,-92.07205871005145,1.2629954115210662,4003.375083928299
165,-89.14792132272036,2.9691953854796806,4116.789042598004
170,-84.91468748213923,3.1504930848929007,4218.320744692717
175,-82.28766411947075,1.8486242423642145,4288.373250914546
180,-83.83314386335925,-0.7495453253368022,4323.728631397109
185,-89.9113391533468,-4.366754994508106,4348.982719717174
190,-96.80237949938328,-9.529238288728905,4382.590271599249
195,-101.65178452428549,-15.496960681276697,4417.14916129168
200,-104.17062686150861,-18.608590753482254,4440.808562600994
205,-105.13660504138747,-20.0399226405882,4441.244368000125
210,-104.78039556376866,-19.849029396117984,4415.736979525134
215,-103.76069791058318,-18.83176389328575,4380.58642936604
220,-102.81068321892748,-17.272182338659242,4359.224700941296
225,-101.8379191320921,-15.711923580217725,4364.583154694736
230,-100.08276383053965,-14.71664556313902,4398.341826832773
235,-97.96062117970251,-13.778978239905456,4464.270264148815
240,-96.08232378132902,-12.81977397322214,4556.637194599943
245,-94.3458306366342,-12.491824233489641,4658.0929115864965
250,-91.37682493398682,-13.80988576306303,4709.050068845167
255,-87.34826566906254,-16.08084099069313,4722.3795571065375
260,-83.58215629783217,-17.75555905174058,4669.5748347571935
265,-80.8408441108793,-19.380401114957092,4562.95395950831
270,-78.53379465121391,-19.821769294100363,4415.923289263711
275,-75.16848800094672,-18.30649437032877,4271.211725893052
280,-70.35006133074191,-17.009687270582745,4122.702105307046
285,-65.13368013818979,-15.665149792223845,3957.8048886749334
290,-60.923504177064714,-13.39207867837187,3763.1018585192896
295,-52.33987519421441,-10.555187546603939,3609.397529923259
300,-45.150153535060056,-17.875427025882356,3630.5036056735416
305,-44.40025502807993,-25.65182608966328,3718.942893640328
310,-43.90462366114689,-23.63590449228427,3769.5922985881075
315,-40.57283428407447,-19.006290027061674,3828.320447035676
320,-38.28177415803605,-16.135738968504395,3926.266141454639
325,-40.000864016924204,-17.381236065027313,4060.0500423993394
330,-45.082138123589054,-22.192604751165646,4186.038584317429
335,-52.20485893766683,-23.89766184179087,4264.2619425100565
340,-59.85085132205003,-20.702388476447524,4315.623989959573
345,-65.22853567599286,-15.978654207005363,4365.858253008033
350,-67.11467948946884,-10.390117612624726,4405.256491158387
355,-67.98117640391673,-8.177423948424845,4408.650627889385
360,-68.52741267628483,-1.9341590303688658,4393.3265128204675
365,-69.14518369247821,1.9776494114872503,4366.884757524343
370,-69.4937067328757,5.43255496394785,4343.568437704916
375,-69.31959682584214,7.690033562510736,4335.958558852052
380,-68.48516103634655,8.547746478951558,4343.828686909956
385,-66.70759247413939,8.132772413783602,4355.065453441433
390,-64.21473759449768,6.904094179187948,4360.041144324215
395,-61.32232198199695,5.111980790413988,4355.6886181056825
400,-58.400932832914336,2.6505590783381567,4344.959955668767
405,-55.950265877049496,-0.7366671041935592,4331.965007063402
410,-54.17753654529422,-4.86204191626044,4318.603136734088
415,-52.92407103821074,-9.302545116044385,4306.75958131591
420,-52.057864342196474,-13.508494584353922,4299.439413212565
425,-51.66058664806268,-17.03982079763399,4298.2763828701445
430,-51.94575606533746,-19.538643267142,4302.713921042649
435,-53.00116296318472,-21.015734907590613,4313.185245926568
440,-54.91035767772709,-21.54629731236748,4330.363857530604
445,-57.28957703526706,-21.37899275201107,4352.452799231435
450,-59.3489685057975,-20.68073839061527,4374.270311868982
