time,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,roll_rad,pitch_rad,yaw_rad,roll_deg,pitch_deg,yaw_deg,force_x,force_y,force_z,moment_x,moment_y,moment_z
0.0,324.9999618564937,134.99999045711635,50.00027446067992,-0.003814350627345911,-0.0009542883655282122,0.0274460679915377,3.300936206643756e-05,-0.00013194049666185882,-1.1564823173178716e-19,0.00189129713082611,-0.007559633605584437,-6.626155586382328e-18,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.01,324.9998854038351,134.9999713299069,50.000823376683,-0.007638023369534578,-0.001910908972250735,0.0548926716581644,9.90280873485861e-05,-0.00039582148984181173,-8.710543325656725e-09,0.0056738914583268464,-0.0226789008085162,-4.990773698259785e-07,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.02,324.9997703107325,134.99994253548698,50.001646737238765,-0.011476718951296674,-0.0028712880482238286,0.08234088950057157,0.00019805618906309068,-0.0007916429778865642,-4.7907991417300696e-08,0.01134778373976019,-0.045357801514068485,-2.744925713160301e-06,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.03,324.9996160802511,134.99990394952906,50.002744526038896,-0.015336137453092816,-0.003836851658980755,0.10979181722587715,0.00033009372007654944,-0.0013194049541829368,-1.5243455129547893e-07,0.01891297700415909,-0.07559633534333403,-8.733856441201398e-06,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.04,324.9994220498172,134.99985540626335,50.00411672104346,-0.01922197772131367,-0.004809025558287508,0.13724657638813306,0.0004951408177273333,-0.001979107401551025,-3.7019838374552137e-07,0.02836947912043257,-0.11339450131197681,-2.1210804971182832e-05,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.05,324.9991873912254,134.9997966984788,50.005763294217466,-0.02313993675073927,-0.005789235031260606,0.16470632302794813,0.0006931977658870736,-0.00277075028448083,-7.621738878383902e-07,0.039717306353227025,-0.15875229738542376,-4.366934702821714e-05,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.06,324.99891111064744,134.9997275775247,50.00768421119777,-0.027095709028826694,-0.006778904727237306,0.1921722563106834,0.0009242650742629128,-0.0036943335392122336,-1.4024022967109852e-06,0.05295648790661051,-0.21166971991048922,-8.035173278099287e-05,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.07,324.9985920486446,134.99964775331307,50.009879430890315,-0.03109498583139668,-0.007779458479788895,0.21964562716262476,0.0011883435749427797,-0.004749857061658053,-2.377992758844898e-06,0.06808707145570952,-0.2721467629234169,-0.00013624894879448363,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.08,324.99822888018224,134.99955689432164,50.01234890499776,-0.03514345445929171,-0.008792319111268211,0.24712774690447029,0.0014854345361877677,-0.0059373206931697,-3.789124118409199e-06,0.08510912966653204,-0.34018341733431223,-0.0002171008200360759,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.09,324.99782011464816,134.99945462759788,50.015092577477425,-0.03924679740558102,-0.009818908219283162,0.274619995881388,0.0018155397934783012,-0.007256724204144628,-5.749047647580892e-06,0.10402276770435977,-0.41577966998791843,-0.00032939616642599937,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.1,324.997364095874,134.99934053876373,50.01811038392969,-0.043410691442891586,-0.010860645942488869,0.3021238320888017,0.0021786618978243315,-0.008708067275474346,-8.38409102313973e-06,0.1248281317312964,-0.49893550260066566,-0.0004803730306794267,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.11,324.9968590021608,134.99921417202148,50.02140225091672,-0.04764080662044912,-0.011918950703092124,0.3296407997929493,0.0025748042813544384,-0.010291349477831167,-1.1833663879070881e-05,0.1475254183938243,-0.5896508905738894,-0.0006780189964471717,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.12,324.99630284630916,134.99907503016072,50.0249680952117,-0.051942805160418916,-0.012995238923463246,0.357172538145131,0.003003971440204592,-0.012006570248791159,-1.625026530642397e-05,0.17211488530155866,-0.6879258016830722,-0.000931071618025959,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.13,324.99569347565364,134.9989225745665,50.028807822978415,-0.05632234024314384,-0.01409092471425201,0.38472078978842106,0.003466169134734595,-0.013853728867789853,-2.179949371130124e-05,0.19859686249880468,-0.793760194642911,-0.0012490189851795406,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.14,324.99502857210314,134.99875622522893,50.03292132888141,-0.060785054670886,-0.015207419531406453,0.41228740945545767,0.003961404607109003,-0.015832824428906146,-2.8660059481619693e-05,0.22697176493102594,-0.9071540175479501,-0.0016421004488907064,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.15,324.99430565218677,134.99857536075427,50.03730849512657,-0.06533657939968945,-0.016346131799495792,0.43987437255575335,0.004489686816289823,-0.01794385581146856,-3.702380095325837e-05,0.2572401059089342,-1.0281072061884435,-0.0021213075361541387,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.16,324.9935220671064,134.99837931837777,50.041969190432305,-0.06998253192899444,-0.017508466498741625,0.46748378375077837,0.005051026690500571,-0.020186821648476443,-4.709570420641848e-05,0.28940251157361463,-1.1566196822410233,-0.002698385084224297,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.17,324.99267500279666,134.9981673939782,50.04690326893132,-0.07472851453864929,-0.018695824713165173,0.4951178855148663,0.005645437397235598,-0.022561720292826916,-5.909392726355593e-05,0.32345973636692016,-1.2926913513336462,-0.003385832627054825,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.18,324.99176147999225,134.9979388420946,50.05211056900297,-0.07958011236298453,-0.019909603137262467,0.522779066679772,0.006272934630905007,-0.025068549781336293,-7.324982930116972e-05,0.3594126795123117,-1.4363221009841722,-0.0041969060690107375,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.19,324.9907783543045,134.9976928759451,50.05759091203644,-0.08454289129163522,-0.021151193538624206,0.5504698709604781,0.006933536918224253,-0.027707307796542378,-8.980800552913286e-05,0.39726240251239314,-1.5875117984117988,-0.005145619683306874,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.2,324.989722316307,134.99742866744822,50.06334410112455,-0.0896223956868225,-0.0224219821739228,0.5781930054595963,0.007627265941478709,-0.0304779916262713,-0.00010902632843323557,0.43701014767060636,-1.74626028822041,-0.0062467484750315634,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.21,324.98858989163176,134.99714534724683,50.069369919688526,-0.09482414590683406,-0.023723349155695652,0.6059513491474479,0.008354146879817321,-0.033380598120949616,-0.00013117599611928713,0.4786573576459179,-1.9125673899527393,-0.007515830951059618,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.22,324.9873774410764,134.99684200473496,50.07566813003363,-0.10015363562547704,-0.025056667767361318,0.6337479613146253,0.00911420876875613,-0.036415123648638956,-0.00015654158854062076,0.5222056960508528,-2.0864328955140476,-0.00896917234165106,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.23,324.98608116072336,134.9965176880876,50.08223847183583,-0.10561632893731367,-0.0264233037239139,0.6615860899935468,0.009907484878102023,-0.039581564047766915,-0.00018542113243530904,0.5676570691049307,-2.2678565664637995,-0.010623848321079503,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.24,324.9846970820726,134.99617140429402,50.08908066055963,-0.11121765723853433,-0.027824614375750952,0.6894691803452041,0.010734013108539895,-0.04287991457752349,-0.0002181261758449854,0.6150136483574372,-2.4568381311735905,-0.012497709277246107,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.25,324.9832210721879,134.99580211919454,50.09619438580713,-0.11696301587337052,-0.029261947853101402,0.7174008830069805,0.011593836407162522,-0.04631016986588807,-0.0002549818731340576,0.6642778944955304,-2.6533772818493118,-0.014609385182921694,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.26,324.9816488338587,134.99540875752123,50.10357930959847,-0.1228577605360057,-0.03073664214853271,0.7453850623970805,0.012487003202262143,-0.04987232385524669,-0.00029632708147648906,0.7154525822559646,-2.85747367141525,-0.016978291124032097,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.27,324.9799759057779,134.9949902029428,50.11123506458384,-0.12890720341800357,-0.032250024135030766,0.7734258049707564,0.013413567857746226,-0.05356636974555409,-0.0003425144698274286,0.7685408264611957,-3.069126910257511,-0.019624633543272638,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.28,324.9781976627377,134.99454529811385,50.11916125218712,-0.13511660909134246,-0.033803408517162056,0.801527427423152,0.014373591147587367,-0.05739229993498871,-0.0003939106414490297,0.8235461092033577,-3.2883365628238024,-0.022569417260320433,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.29,324.9763093158434,134.99407284472895,50.1273574406815,-0.14149119011722108,-0.03539809671284544,0.8296944848332006,0.015367140750768978,-0.061350105958042495,-0.0004508962711140737,0.8804723082025617,-3.515102144076241,-0.025834453333022957,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
