,,,Fx,Fx,Fx,Fx,Fx,Fx,Fx,Fx,Fx,Fx,Fy,Fy,Fy,Fy,Fy,Fy,Fy,Fy,Fy,Fy,Fz,Fz,Fz,Fz,Fz,Fz,Fz,Fz,Fz,Fz,Qx,Qx,Qx,Qx,Qx,Qx,Qx,Qx,Qx,Qx,Qy,Qy,Qy,Qy,Qy,Qy,Qy,Qy,Qy,Qy,Qz,Qz,Qz,Qz,Qz,Qz,Qz,Qz,Qz,Qz
Azimuth,,,0.0,36.0,72.0,108.0,144.0,180.0,216.0,252.0,288.0,324.0,0.0,36.0,72.0,108.0,144.0,180.0,216.0,252.0,288.0,324.0,0.0,36.0,72.0,108.0,144.0,180.0,216.0,252.0,288.0,324.0,0.0,36.0,72.0,108.0,144.0,180.0,216.0,252.0,288.0,324.0,0.0,36.0,72.0,108.0,144.0,180.0,216.0,252.0,288.0,324.0,0.0,36.0,72.0,108.0,144.0,180.0,216.0,252.0,288.0,324.0
RPM,WindMagnitude,AngleDegrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,12,-5,130.9418787713368,122.29731396468262,119.18357686572145,129.75253703156585,126.33429752229239,117.87792555486526,126.52249036152003,129.6362274604833,119.06726729463772,122.48550680391148,-7.060563100445888,-0.9777967936340177,-11.078944645154317,-10.918858254337948,-0.9166492334767375,-7.258440761766187,-13.341207068578516,-3.240059217056806,-3.400145607872752,-13.402354628733157,3919.2543254985603,3919.25432549856,3919.254325498559,3919.2543254985703,3919.2543254985667,3919.2543254985676,3919.2543254985712,3919.2543254985703,3919.254325498569,3919.2543254985626,1095.6458098031342,1043.6708936092698,1019.120354118801,1086.2683381599256,1069.3191412369601,1012.6463369762431,1064.6212531701083,1089.1717926605913,1022.0238086194535,1038.9730055424175,42.694838171475176,85.39647701182913,22.769862192428867,18.773599910814905,83.87004064821707,47.63449000746783,4.932851167123275,67.55946598653397,71.55572826815418,6.459287530759056,-1306.457971572489,-1306.45797157249,-1306.457971572488,-1306.4579715724924,-1306.4579715724915,-1306.4579715724917,-1306.457971572493,-1306.457971572492,-1306.457971572492,-1306.4579715724906
