x_position,moment_x,moment_y,moment_z
150,15409.581455590103,14354.952917806442,1675.7782423494232
155,15697.062104301564,14620.66076132089,1704.5132816742585
160,15958.963864019446,14872.169841086914,1727.734477608406
165,16171.480938537776,15081.806048120523,1743.6514435160407
170,16335.97172150817,15242.343387516354,1753.5247028119586
175,16435.178892678632,15337.352582390215,1758.6634533808635
180,16448.848397341546,15351.74077489974,1755.419665271034
185,16408.760881180777,15326.950940466111,1742.943903989082
190,16385.461080221903,15337.916389227179,1726.3647722442715
195,16452.877190575462,15458.662043444485,1716.5571044973403
200,16701.2854804003,15760.304478647822,1729.7293459158755
205,16947.422349235294,16056.305026452746,1748.545781436006
210,17148.00774362642,16283.64807792884,1771.4116896731907
215,17267.797797361643,16400.553968994816,1792.6484870245652
220,17304.095181601482,16419.6865021573,1811.1956432092309
225,17283.29377522857,16369.814230308899,1823.3670522929456
230,17322.769944956643,16363.385591946313,1835.3558616173752
235,17452.090375940817,16460.430184741217,1851.853975397706
240,17650.28658920884,16646.09720222807,1870.3996430309487
245,17935.76113740563,16928.01558821717,1892.098784106109
250,18258.122272196342,17259.044146003755,1917.811959086369
255,18553.72212133001,17572.958433925687,1948.9525030515501
260,18781.230332387182,17818.481863119832,1975.0133459052215
265,18891.092153961046,17948.534587483344,1986.9780799280827
270,18877.634709971262,17965.44153218335,1989.3416827782348
275,18744.735687342934,17857.230252980396,1977.0438811170604
280,18430.06705526251,17591.059013598035,1949.0220271419264
285,17947.641162713724,17148.337250638262,1906.5852111874499
290,17397.75108150727,16596.16866547316,1856.9594565537277
295,16958.09231823532,16116.267694278176,1814.747588504765
300,16652.651200712982,15782.820427873026,1789.0556247476336
305,16385.67064272597,15490.885970438003,1780.1331735323806
310,16055.27958140242,15149.399550685712,1750.4439015390321
315,15775.753030600545,14913.926203166826,1708.557794755462
320,15612.619789332808,14824.772729947956,1675.3305692720169
325,15514.816479566181,14785.696696338153,1642.1540691344444
330,15418.352160814004,14749.67629584294,1615.465095117024
335,15334.779484119836,14731.76223184095,1599.815800866826
340,15213.087691211906,14664.917222884724,1584.4040627305533
345,15167.482273127887,14645.775307655053,1575.6627821565958
350,15271.859622515845,14741.04423887809,1579.5624800204814
355,15447.366712553016,14893.238816102656,1587.1278447906436
360,15644.313524024008,15057.602478510733,1590.187392460256
365,15849.736629978497,15225.89971355683,1591.1200287599108
370,16054.436189077327,15385.901051273528,1596.902464828934
375,16236.41280279438,15535.041838360225,1603.7607815143165
380,16362.92888944191,15638.669945447067,1608.481224770689
385,16420.161091230384,15691.514317515435,1608.4400906016706
390,16415.283369434244,15701.503388504367,1604.820126346328
395,16367.157322951227,15685.42895188935,1599.7593786168566
400,16285.962813679203,15646.929788775438,1594.2119496830194
405,16171.9101449766,15577.80179958403,1587.06740596601
410,16020.70111695023,15468.205332289108,1577.1906950892158
415,15854.854474644717,15337.681209221193,1566.4372672115085
420,15705.708202450323,15218.023777542347,1558.6969515840358
425,15599.715985336852,15136.910008269426,1557.3817330811155
430,15542.5667065505,15097.68524422999,1561.8533647354907
435,15533.113343893483,15098.152046973491,1569.7044204549754
440,15576.491952611008,15142.801935424828,1579.2647393422335
445,15672.47832618643,15231.596530163892,1590.2891094150882
450,15811.537309196903,15357.606120473141,1602.9397887687137
