x_position,wind_velocity_x,wind_velocity_y,wind_velocity_z
150,-9.20772,-0.061092198,-1.2442865
155,-9.294695,0.004558772,-0.97495174
160,-9.316977,0.0981434,-0.7197386
165,-9.309837,0.23374951,-0.5091572
170,-9.314945,0.40666574,-0.34725544
175,-9.319116,0.5690914,-0.2566266
180,-9.2692795,0.65985674,-0.261056
185,-9.10823,0.66583145,-0.31223977
190,-8.852422,0.6357888,-0.320671
195,-8.578368,0.57055444,-0.21272852
200,-8.311534,0.5411711,0.1525555
205,-8.096755,0.4744413,0.4530889
210,-7.9591947,0.43701738,0.6879313
215,-7.923109,0.36377633,0.8064534
220,-7.9747677,0.21587494,0.8172807
225,-8.074876,0.050912052,0.74324477
230,-8.1765585,-0.054041743,0.7335863
235,-8.241926,-0.12344059,0.843006
240,-8.245695,-0.17040454,1.0316821
245,-8.182289,-0.15839197,1.3233689
250,-8.093075,-0.14095587,1.6779075
255,-8.004877,-0.24824725,1.9918075
260,-7.9029484,-0.4004318,2.206834
265,-7.7905855,-0.47674632,2.3071635
270,-7.676572,-0.5919836,2.2938235
275,-7.535369,-0.69332874,2.1685922
280,-7.3780165,-0.7856877,1.8498917
285,-7.248166,-0.86686146,1.3785005
290,-7.205414,-0.88025075,0.81927514
295,-7.231679,-0.8058845,0.37457475
300,-7.1953425,-0.82501733,0.08256322
305,-7.020929,-1.0802972,-0.22111297
310,-6.693348,-1.3089615,-0.63258815
315,-6.364494,-1.3432189,-0.9366904
320,-6.1731524,-1.333178,-1.0758224
325,-5.9910135,-1.1766049,-1.0918223
330,-5.7484365,-1.2011509,-1.0771196
335,-5.484499,-1.3154529,-1.0710061
340,-5.3493414,-1.4006184,-1.1377487
345,-5.504109,-1.4376533,-1.1706406
350,-5.7880583,-1.3064864,-1.0542189
355,-5.917735,-1.0400577,-0.8647327
360,-5.8696265,-0.6564456,-0.66420346
365,-5.729293,-0.12765032,-0.47239822
370,-5.6535444,0.2878365,-0.2490471
375,-5.6182804,0.65031695,-0.062229276
380,-5.6287756,0.9076354,0.0752027
385,-5.6463485,1.0599463,0.1541835
390,-5.653399,1.0886017,0.17187755
395,-5.61872,0.9823495,0.14505397
400,-5.50556,0.7663822,0.084279165
405,-5.3108587,0.49466377,-0.0139350295
410,-5.0728316,0.2111954,-0.15708011
415,-4.8439875,-0.069012016,-0.31767377
420,-4.6691885,-0.35722563,-0.46129933
425,-4.567897,-0.6582827,-0.5640279
430,-4.543665,-0.944737,-0.6260259
435,-4.5810347,-1.1688676,-0.6499403
440,-4.652172,-1.2899392,-0.62443393
445,-4.743511,-1.2972875,-0.5466396
450,-4.8445477,-1.2086445,-0.42279795
