Time_s,RotorSpeed_rad_s,Qaero_Nm,Predicted_WindZ
0.68,42.47583357456198,-1318.8414189395244,1.0107752030601365
0.6900000000000001,42.44475295997778,-1318.842253256734,1.0331048002216736
0.7000000000000001,42.41384091875627,-1318.8430911027508,1.0553261811188008
0.71,42.38309717186813,-1318.843932450272,1.0774393374730025
0.72,42.35252143908396,-1318.8447772727109,1.0994442634693247
0.73,42.32211343898333,-1318.8456255432045,1.1213409557341958
0.74,42.29187288896388,-1318.8464772350362,1.1431294133300316
0.75,42.26179950525034,-1318.847332321427,1.1648096377424029
0.76,42.23189300290355,-1318.848190775914,1.1863816328740082
0.77,42.20215309582946,-1318.8490525720456,1.2078454050306444
0.78,42.17257949678811,-1318.8499176833673,1.2292009629104186
0.79,42.14317191740258,-1318.8507860833406,1.250448317592257
0.8,42.11393006816794,-1318.851657745751,1.2715874825301885
0.81,42.08485365846011,-1318.8525326443016,1.29261847353788
0.8200000000000001,42.05594239654482,-1318.8534107528728,1.3135413087810779
0.8300000000000001,42.02719598958641,-1318.8542920452885,1.3343560087641269
0.84,41.99861414365672,-1318.8551764954368,1.355062596320673
0.85,41.97019656374388,-1318.8560640773785,1.3756610966042881
0.86,41.94194295376113,-1318.8569547651043,1.39615153707474
0.87,41.9138530165556,-1318.8578485328453,1.4165339474909011
0.88,41.88592645391704,-1318.8587453548623,1.4368083598974994
0.89,41.85816296658657,-1318.8596452053737,1.4569748086132606
0.9,41.8305622542654,-1318.8605480586857,1.477033330221687
0.91,41.80312401562349,-1318.861453889166,1.4969839635598028
0.92,41.775847948308254,-1318.8623626712954,1.516826749707862
0.93,41.74873374895317,-1318.863274379762,1.5365617319795568
0.94,41.72178111318641,-1318.86418898911,1.5561889559067659
0.95,41.694989735639446,-1318.8651064739054,1.575708469230543
0.96,41.668359309955626,-1318.866026808908,1.5951203218922547
0.97,41.64188952879872,-1318.8669499689508,1.6144245660209986
0.98,41.61558008386146,-1318.8678759290106,1.6336212559234475
0.99,41.589430665874026,-1329.3396784614367,1.7806681549015764
1.0,41.56273630605761,-1339.4595850786363,1.9238502854840487
1.01,41.5362250335276,-1340.2472568226676,1.9529622745575015
1.02,41.5098751667293,-1339.5027367505002,1.9632453899536877
1.03,41.48368701663334,-1340.0071446511265,1.988683965524137
1.04,41.45766024805972,-1339.672265651517,2.0037493902626107
1.05,41.4317945438148,-1339.8971115418267,2.025553363892648
1.06,41.40608958521694,-1339.748806256683,2.0426800628643758
1.07,41.38054505267655,-1339.8492730424202,2.062743990633912
1.08,41.35516062568779,-1339.78389618641,2.0806664364882224
1.09,41.32993598283748,-1339.8290861273551,2.0998349823848397
1.1,41.30487080181357,-1339.800569197913,2.1179902721532216
1.11,41.27996475941346,-1339.821194468433,2.1366393975993123
1.12,41.25521753155245,-1339.809062517602,2.154777283478591
1.13,41.23062879327207,-1339.818772918491,2.173074434368303
1.14,41.206198218748376,-1339.813925914695,2.191083776238809
1.15,41.18192548130032,-1339.8187879697257,2.2091036412098006
1.16,41.157810253397976,-1339.8171814006596,2.2269351953535317
1.17,41.13385220667084,-1339.8198912889284,2.2447112058711074
1.18,41.11005101191604,-1339.8197275397165,2.2623432741300142
