RPM,Qaero_Nm,Estimated_WindZ
0.0,1336035.6587486006,5.733306007838688e-06
44.955606135758295,667380.3285519086,6.34421476131279e-06
44.91270423311071,-1346.736331745505,4.569216069601113e-06
44.8699480054453,-1299.772144872988,6.34421476131279e-06
44.82737676546862,-1331.4909168783583,6.3487620303032935e-06
44.78498917603507,-1310.334000200556,5.5711860315143124e-06
44.74278509060298,-1324.4398842458136,6.068922753052721e-06
44.70076432581375,-1315.036881621808,4.759190779059674e-06
44.65892669751016,-1321.306489608511,6.3959658739752615e-06
44.61727201969042,-1317.127699043429,6.1452735444313295e-06
44.57580010454952,-1319.914516304317,3.656592828428608e-06
44.53451076248867,-1318.0576037455585,3.767920834516013e-06
44.49340380212568,-1319.2965197469598,4.3661134417244575e-06
44.45247903030523,-1318.4715586712173,4.63698763114887e-06
44.41173625210915,-1319.0225242258985,5.123807465525599e-06
44.37117527086674,-1318.656213888706,5.437098152799936e-06
44.33079588816499,-1318.901429290621,5.70630829943742e-06
44.29059790385881,-1318.7389692939062,5.934685213874374e-06
44.25058111608125,-1318.8483012734737,6.188782481860386e-06
44.2107453212537,-1318.7764469292242,6.424191273792045e-06
44.17109031409605,-1318.8253917443303,3.3372082681666037e-06
44.13161588763688,-1318.7938120133103,3.5747286394222884e-06
44.09232183322354,-1318.8159234899792,6.372238514511362e-06
44.053207940532346,-1318.8022489553011,5.529640639275198e-06
44.01427399757859,-1318.8124398387854,6.278227776225657e-06
43.9755197907267,-1318.806728471145,5.629427990477956e-06
43.93694510470024,-1318.8116265825288,4.046453892150625e-06
43.898549722591966,-1318.809459636697,5.647765222561383e-06
43.86033342587388,-1318.8120106082845,0.024911421730606422
43.8222959944072,-1318.8114241317242,0.05151954186116467
43.78443720645232,-1318.812937068362,0.07804565021437249
43.74675683867881,-1318.8130581280843,0.10444888874067551
43.70925466617537,-1318.81411478871,0.1307564063372459
43.67193046245968,-1318.8145553496686,0.15694998554283537
43.63478399948837,-1318.8154142291742,0.18304167696724366
43.59781504766688,-1318.8160017663572,0.20902334165004077
43.56102337585933,-1318.816777686627,0.23490031254094393
43.52440875139832,-1318.817435457996,0.26066893820484793
43.4879709400948,-1318.8181793867132,0.286331563856983
43.45170970624788,-1318.8188732203007,0.31188653725514204
43.41562481265453,-1318.8196077457003,0.33733487593079875
43.37971602061943,-1318.8203223902888,0.3626758193880455
43.34398308996468,-1318.8210574878717,0.3879097962870027
43.30842577903949,-1318.8217861013384,0.41303644500913306
43.27304384472992,-1318.8225261410184,0.4380559341578333
43.23783704246853,-1318.8232656191517,0.4629680816475979
43.20280512624407,-1318.8240124799477,0.4877729423620166
43.167947848611085,-1318.8247613797266,0.5124704161302877
43.13326496069954,-1318.8255158337329,0.5370605092510423
43.09875621222443,-1318.8262734513523,0.5615431600294128
43.06442135149533,-1318.827035779167,0.5859183551608241
43.03026012542599,-1318.827801739049,0.6101860520952174
42.99627227954382,-1318.8285720028573,0.634346230830016
42.96245755799943,-1318.8293460758996,0.6583988593600233
42.92881570357613,-1318.8301242412283,0.6823439167259514
42.895346457699375,-1318.8309062635635,0.7061813776416499
42.86204956044624,-1318.8316922533236,0.729911222749793
42.82892475055482,-1318.8324820904515,0.7535334317795778
42.79597176543367,-1318.833275808658,0.7770479881133199
42.76319034117117,-1318.8340733393125,0.8004548757414338
42.730580212544886,-1318.834874682127,0.823754081293515
42.698141113030935,-1318.8356797913484,0.8469455926835485
42.66587277481329,-1318.836488651653,0.870029400014139
42.63377492879307,-1318.8373012275251,0.89300549497308
42.60184730459787,-1318.8381174969186,0.9158738712347922
42.57008963059095,-1318.8389374289272,0.9386345241936321
42.53850163388053,-1318.8397609987092,0.961287451141898
42.50708304032897,-1318.8405881775748,0.9838326511510442
42.47583357456198,-1318.8414189395244,1.0062701191569092
42.44475295997778,-1318.842253256734,1.0285998470305662
42.41384091875627,-1318.8430911027508,1.05082185639948
42.38309717186813,-1318.843932450272,1.0729361536459507
42.35252143908396,-1318.8447772727109,1.0949427469830837
42.32211343898333,-1318.8456255432045,1.1168416464421276
42.29187288896388,-1318.8464772350362,1.1386328638765935
42.26179950525034,-1318.847332321427,1.1603164129587704
42.23189300290355,-1318.848190775914,1.181892309183171
42.20215309582946,-1318.8490525720456,1.203360569861715
42.17257949678811,-1318.8499176833673,1.224721214122321
42.14317191740258,-1318.8507860833406,1.2459742629065607
42.11393006816794,-1318.851657745751,1.2671197389731654
42.08485365846011,-1318.8525326443016,1.2881576668916397
42.05594239654482,-1318.8534107528728,1.3090880730437955
42.02719598958641,-1318.8542920452885,1.329910985619266
41.99861414365672,-1318.8551764954368,1.3506264346151844
41.97019656374388,-1318.8560640773785,1.3712344518356805
41.94194295376113,-1318.8569547651043,1.3917350708870284
41.9138530165556,-1318.8578485328453,1.412128327179345
41.88592645391704,-1318.8587453548623,1.4324142579220203
41.85816296658657,-1318.8596452053737,1.4525929021206223
41.8305622542654,-1318.8605480586857,1.4726643005762161
41.80312401562349,-1318.861453889166,1.4926284958827414
41.775847948308254,-1318.8623626712954,1.5124855324251572
41.74873374895317,-1318.863274379762,1.5322354563781257
41.72178111318641,-1318.86418898911,1.5518783156991418
41.694989735639446,-1318.8651064739054,1.571414160127865
41.668359309955626,-1318.866026808908,1.5908430411854466
41.64188952879872,-1318.8669499689508,1.6101650121702515
41.61558008386146,-1318.8678759290106,1.6293801281557665
41.589430665874026,-1329.3396784614367,1.7759462320302428
41.56273630605761,-1339.4595850786363,1.9186601581354723
41.5362250335276,-1340.2472568226676,1.9477526832175025
41.5098751667293,-1339.5027367505002,1.958091422725
41.48368701663334,-1340.0071446511265,1.983525851381061
41.45766024805972,-1339.672265651517,1.9986288377191532
41.4317945438148,-1339.8971115418267,2.0204439203192988
41.40608958521694,-1339.748806256683,2.0376008286633596
41.38054505267655,-1339.8492730424202,2.057683622239433
41.35516062568779,-1339.78389618641,2.0756339226632736
41.32993598283748,-1339.8290861273551,2.0948257219828665
41.30487080181357,-1339.800569197913,2.113008733041732
41.27996475941346,-1339.821194468433,2.1316839820658258
41.25521753155245,-1339.809062517602,2.149850435088099
41.23062879327207,-1339.818772918491,2.168175888500446
41.206198218748376,-1339.813925914695,2.186215066135379
41.18192548130032,-1339.8187879697257,2.2042650891706512
41.157810253397976,-1339.8171814006596,2.222127920798059
41.13385220667084,-1339.8198912889284,2.2399357845338255
41.11005101191604,-1339.8197275397165,2.2576006324945994
41.08640633910659,-1339.821483509212,2.2751813341417586
41.062917857399526,-1339.8219635863857,2.292638772685778
41.03958523514413,-1339.8232981384172,2.309999187774905
41.01640813989004,-1339.824066880568,2.327245231560131
40.993386238395374,-1339.825216629563,2.3443886303223684
40.97051919663484,-1339.8261161343844,2.36142172193933
40.94780667980781,-1339.8271861893186,2.3783497784424745
40.925248352346365,-1339.828146225425,2.395169448224758
40.90284387792332,-1339.829183249294,2.41188313412943
40.88059291946023,-1339.8301725504534,2.4284894039136566
40.858495139135385,-1339.831197230039,2.4449893860069722
40.83655019839176,-1339.832201848264,2.461382503847334
40.814757757944925,-1339.833223326067,2.477669320850408
40.793117477791,-1339.8342370105952,2.4938496429564325
40.77162901721452,-1339.8352592983742,2.509923784119713
40.75029203479627,-1339.836279219835,2.5258917222896433
40.729106188421184,-1339.837304049489,2.5417536623105534
40.708071135286126,-1339.83832889931,2.557509660494175
40.68718653190768,-1339.8393569897285,2.5731598749956746
40.66645203412993,-1339.840386135611,2.588704398818862
40.64586729713222,-1339.841417755688,2.604143371181795
40.62543197543685,-1339.8424508663084,2.6194769032339664
40.60514572291677,-1339.8434860855143,2.634705127586556
40.58500819280332,-1339.8445229634926,2.649828165266968
40.56501903769378,-1339.8455617625618,2.664846147750991
40.54517790955909,-1339.8466022704756,2.679759202258045
40.52548445975142,-1339.847644591345,2.6945674615448936
40.50593833901172,-1339.8486886185833,2.7092710573661796
40.486539197477335,-1339.849734386214,2.723870124824135
40.4672866846895,-1339.850781834598,2.7383647994558844
40.448180449600855,-1339.851830966637,2.7527552191652456
40.42922014058296,-1339.8528817436488,2.767041522923347
40.41040540543371,-1339.853934154714,2.78122385162312
40.391735891384826,-1339.854988170676,2.7953023475009022
40.37321124510923,-1339.856043774656,2.8092771545088637
40.35483111272847,-1339.8571009416216,2.8231484180539557
40.33659513982005,-1339.858159652084,2.8369162851612875
40.31850297142481,-1339.8592198829788,2.8505809043535493
40.30055425205425,-1339.8602816136918,2.864142425718874
40.282748625697785,-1339.8613448222331,2.8776010008559876
40.26508573583006,-1339.862409487695,2.8909601591107723
40.24756522541819,-1339.8634755884436,2.90421330289016
40.23018673692898,-1339.864543103396,2.917363964358629
40.21294991233612,-1339.8656120113033,2.9304123011617778
40.1958543931274,-1339.8666822910964,2.9433584724382706
40.17889982031182,-1339.8677539217597,2.9562026388106686
40.16208583442676,-1339.8688268823166,2.9689449623776527
40.14541207554505,-1339.8699011517906,2.9815856067058957
40.12887818328212,-1339.87097670945,2.9941247368253356
40.11248379680297,-1339.8720535346883,3.006562519219973
40.09622855482928,-1339.8731316066787,3.0188991218156955
