Time_s,RotorSpeed_rad_s,Qaero_Nm
0.0,0.0,1336035.6587486006
0.01,44.955606135758295,667380.3285519086
0.02,44.91270423311071,-1346.7363317455047
0.03,44.8699480054453,-1299.772144872988
0.04,44.82737676546862,-1331.4909168783583
0.05,44.78498917603507,-1310.3340002005561
0.06,44.74278509060298,-1324.4398842458136
0.07,44.70076432581375,-1315.0368816218079
0.08,44.65892669751016,-1321.306489608511
0.09,44.61727201969042,-1317.127699043429
0.1,44.575800104549515,-1319.914516304317
0.11,44.53451076248867,-1318.0576037455583
0.12,44.493403802125684,-1319.2965197469598
0.13,44.45247903030523,-1318.4715586712173
0.14,44.41173625210915,-1319.0225242258985
0.15,44.37117527086674,-1318.6562138887061
0.16,44.33079588816499,-1318.901429290621
0.17,44.29059790385881,-1318.7389692939062
0.18,44.25058111608125,-1318.8483012734735
0.19,44.2107453212537,-1318.7764469292242
0.2,44.17109031409605,-1318.8253917443303
0.21,44.131615887636876,-1318.7938120133103
0.22,44.092321833223544,-1318.8159234899792
0.23,44.053207940532346,-1318.8022489553011
0.24,44.01427399757859,-1318.8124398387854
0.25,43.9755197907267,-1318.8067284711453
0.26,43.936945104700236,-1318.8116265825288
0.27,43.898549722591966,-1318.809459636697
0.28,43.86033342587388,-1318.8120106082845
0.29,43.8222959944072,-1318.8114241317242
0.3,43.78443720645232,-1318.812937068362
0.31,43.74675683867881,-1318.8130581280845
0.32,43.70925466617537,-1318.81411478871
0.33,43.67193046245968,-1318.8145553496686
0.34,43.63478399948837,-1318.8154142291742
0.35,43.597815047666884,-1318.8160017663572
0.36,43.56102337585933,-1318.816777686627
0.37,43.52440875139832,-1318.817435457996
0.38,43.487970940094804,-1318.8181793867132
0.39,43.451709706247875,-1318.8188732203007
0.4,43.41562481265453,-1318.8196077457005
0.41,43.37971602061943,-1318.8203223902888
0.42,43.34398308996468,-1318.8210574878715
0.43,43.30842577903949,-1318.8217861013384
0.44,43.27304384472992,-1318.8225261410184
0.45,43.237837042468534,-1318.8232656191517
0.46,43.20280512624407,-1318.8240124799477
0.47,43.167947848611085,-1318.8247613797266
0.48,43.13326496069954,-1318.8255158337329
0.49,43.09875621222443,-1318.8262734513523
0.5,43.064421351495334,-1318.827035779167
0.51,43.03026012542599,-1318.827801739049
0.52,42.99627227954382,-1318.8285720028573
0.53,42.96245755799943,-1318.8293460758996
0.54,42.92881570357613,-1318.8301242412283
0.55,42.895346457699375,-1318.8309062635635
0.56,42.86204956044624,-1318.8316922533236
0.5700000000000001,42.82892475055482,-1318.8324820904515
0.58,42.79597176543367,-1318.833275808658
0.59,42.76319034117117,-1318.8340733393125
0.6,42.730580212544886,-1318.834874682127
0.61,42.698141113030935,-1318.8356797913484
0.62,42.66587277481329,-1318.836488651653
0.63,42.63377492879307,-1318.8373012275251
0.64,42.60184730459787,-1318.8381174969186
0.65,42.57008963059095,-1318.8389374289272
0.66,42.53850163388053,-1318.8397609987092
0.67,42.50708304032897,-1318.8405881775748
0.68,42.47583357456198,-1318.8414189395244
0.6900000000000001,42.444752959977784,-1318.842253256734
0.7000000000000001,42.41384091875627,-1318.8430911027508
0.71,42.38309717186813,-1318.843932450272
0.72,42.35252143908396,-1318.8447772727109
0.73,42.32211343898333,-1318.8456255432045
0.74,42.29187288896388,-1318.8464772350362
0.75,42.26179950525034,-1318.847332321427
0.76,42.23189300290355,-1318.848190775914
0.77,42.20215309582946,-1318.8490525720456
0.78,42.17257949678811,-1318.8499176833673
0.79,42.14317191740258,-1318.8507860833406
0.8,42.11393006816794,-1318.851657745751
0.81,42.08485365846011,-1318.8525326443016
0.8200000000000001,42.05594239654482,-1318.8534107528728
0.8300000000000001,42.02719598958641,-1318.8542920452883
0.84,41.99861414365672,-1318.8551764954368
0.85,41.970196563743876,-1318.8560640773785
0.86,41.94194295376113,-1318.8569547651045
0.87,41.9138530165556,-1318.8578485328453
0.88,41.88592645391704,-1318.8587453548623
0.89,41.85816296658657,-1318.8596452053735
0.9,41.830562254265395,-1318.8605480586857
0.91,41.80312401562349,-1318.8614538891661
0.92,41.775847948308254,-1318.8623626712954
0.93,41.74873374895317,-1318.863274379762
0.94,41.72178111318641,-1318.86418898911
0.95,41.694989735639446,-1318.8651064739054
0.96,41.668359309955626,-1318.866026808908
0.97,41.64188952879872,-1318.8669499689508
0.98,41.61558008386146,-1318.8678759290106
0.99,41.589430665874026,-1329.3396784614367
1.0,41.56273630605761,-1339.4595850786363
1.01,41.5362250335276,-1340.2472568226676
1.02,41.5098751667293,-1339.5027367505002
1.03,41.48368701663334,-1340.0071446511265
1.04,41.45766024805972,-1339.6722656515167
